skill_id,canonical_name,aliases,skill_category,parent_skill,match_pattern,source,version
SK001,人工智能,"AI;Artificial Intelligence",人工智能,,,team_review,v1
SK002,机器学习,"ML;Machine Learning",人工智能,人工智能,,team_review,v1
SK003,深度学习,"Deep Learning;DL",人工智能,人工智能,,team_review,v1
SK004,自然语言处理,"NLP;Natural Language Processing",人工智能,人工智能,,team_review,v1
SK005,计算机视觉,"CV;Computer Vision",人工智能,人工智能,,team_review,v1
SK006,推荐算法,推荐系统,人工智能,人工智能,,team_review,v1
SK007,风控模型,风控,人工智能,人工智能,,team_review,v1
SK008,多模态,多模态AI,人工智能,人工智能,,team_review,v1
SK009,大模型,"LLM;大语言模型",大模型应用,生成式AI,,team_review,v1
SK010,提示词工程,"Prompt;Prompt Engineering;提示工程",大模型应用,生成式AI,,team_review,v1
SK011,检索增强生成,"RAG;Retrieval-Augmented Generation",大模型应用,生成式AI,,team_review,v1
SK012,智能体,"AI Agent;Agent;智能体",大模型应用,生成式AI,,team_review,v1
SK013,智能体开发,"Agent开发;Agentic;智能体开发",大模型应用,生成式AI,,team_review,v1
SK014,智能体框架,"Agentlightning;AgentRuntime;AgentBench;智能体框架",大模型应用,生成式AI,,team_review,v1
SK015,AIGC,AI原生;AI-native,大模型应用,生成式AI,,team_review,v1
SK016,AIBot,AI机器人;聊天机器人,大模型应用,生成式AI,,team_review,v1
SK017,AIOps,智能运维,运维,DevOps,,team_review,v1
SK018,Python,Python语言,编程语言,后端开发,,team_review,v1
SK019,Java,Java语言,编程语言,后端开发,,team_review,v1
SK020,C++,C Plus Plus,编程语言,系统编程,,team_review,v1
SK021,C#,C Sharp,编程语言,后端开发,,team_review,v1
SK022,Go,Go语言,编程语言,后端开发,,team_review,v1
SK023,Rust,Rust语言,编程语言,系统编程,,team_review,v1
SK024,Swift,Swift语言,编程语言,移动开发,,team_review,v1
SK025,JavaScript,JS,前端开发,前端开发,,team_review,v1
SK026,TypeScript,TS,前端开发,前端开发,,team_review,v1
SK027,CSS,层叠样式表,前端开发,前端开发,,team_review,v1
SK028,React,"React.js;React",前端开发,前端开发,,team_review,v1
SK029,Vue,"Vue.js;Vue",前端开发,前端开发,,team_review,v1
SK030,Angular,Angular框架,前端开发,前端开发,,team_review,v1
SK031,Spring,Spring框架,后端开发,后端开发,,team_review,v1
SK032,Django,Django框架,后端开发,后端开发,,team_review,v1
SK033,Flask,Flask框架,后端开发,后端开发,,team_review,v1
SK034,Node.js,NodeJS,后端开发,后端开发,,team_review,v1
SK035,SQL,结构化查询语言,数据库,数据存储,,team_review,v1
SK036,MySQL,MySQL数据库,数据库,数据存储,,team_review,v1
SK037,PostgreSQL,PG数据库,数据库,数据存储,,team_review,v1
SK038,MongoDB,MongoDB数据库,数据库,数据存储,,team_review,v1
SK039,Redis,Redis缓存,数据库,数据存储,,team_review,v1
SK040,向量数据库,"Vector Database;VectorDB",数据库,大模型应用,,team_review,v1
SK041,HDFS,分布式文件系统,数据工程,数据工程,,team_review,v1
SK042,Hadoop,Hadoop生态,数据工程,数据工程,,team_review,v1
SK043,Spark,Spark计算引擎,数据工程,数据工程,,team_review,v1
SK044,Kafka,消息队列,数据工程,数据工程,,team_review,v1
SK045,ETL,数据抽取转换加载,数据工程,数据工程,,team_review,v1
SK046,Data Warehouse,数据仓库,数据工程,数据工程,,team_review,v1
SK047,数据湖,Data Lake,数据工程,数据工程,,team_review,v1
SK048,数据治理,数据治理,数据工程,数据工程,,team_review,v1
SK049,数据质量,数据质量,数据工程,数据工程,,team_review,v1
SK050,数据分析,数据分析,数据科学,数据科学,,team_review,v1
SK051,数据挖掘,数据挖掘,数据科学,数据科学,,team_review,v1
SK052,数据可视化,可视化,数据科学,数据科学,,team_review,v1
SK053,数据建模,数据建模,数据科学,数据科学,,team_review,v1
SK054,特征工程,特征工程,数据科学,数据科学,,team_review,v1
SK055,数据科学,Data Science,数据科学,数据科学,,team_review,v1
SK056,AWS,亚马逊云,云平台,云基础设施,,team_review,v1
SK057,Azure,微软云,云平台,云基础设施,,team_review,v1
SK058,GCP,谷歌云,云平台,云基础设施,,team_review,v1
SK059,Docker,容器,容器编排,云基础设施,,team_review,v1
SK060,Kubernetes,K8s,容器编排,云基础设施,,team_review,v1
SK061,Terraform,基础设施即代码,运维,云基础设施,,team_review,v1
SK062,Ascend,昇腾,AI框架,人工智能,,team_review,v1
SK063,CUDA,统一计算设备架构,AI框架,人工智能,,team_review,v1
SK064,CUDA/NPU,GPU/NPU编程,AI框架,人工智能,,team_review,v1
SK065,CUDA/Triton,GPU推理服务,AI框架,人工智能,,team_review,v1
SK066,PyTorch,PyTorch框架,AI框架,人工智能,,team_review,v1
SK067,TensorFlow,TensorFlow框架,AI框架,人工智能,,team_review,v1
SK068,Embedding,嵌入向量,AI技术,人工智能,,team_review,v1
SK069,分布式训练,Distributed Training,AI工程,人工智能,,team_review,v1
SK070,分布式推理,Distributed Inference,AI工程,人工智能,,team_review,v1
SK071,模型训练,模型训练,AI工程,人工智能,,team_review,v1
SK072,模型评估,模型评估,AI工程,人工智能,,team_review,v1
SK073,模型部署,模型部署,AI工程,人工智能,,team_review,v1
SK074,模型推理,模型推理,AI工程,人工智能,,team_review,v1
SK075,模型微调,微调,AI工程,人工智能,,team_review,v1
SK076,模型压缩,模型压缩,AI工程,人工智能,,team_review,v1
SK077,模型量化,量化,AI工程,人工智能,,team_review,v1
SK078,CI/CD,持续集成/持续交付,运维,DevOps,,team_review,v1
SK079,Jenkins,持续集成工具,运维,DevOps,,team_review,v1
SK080,Ansible,自动化运维工具,运维,DevOps,,team_review,v1
SK081,Prometheus,监控工具,运维,DevOps,,team_review,v1
SK082,Linux,Linux操作系统,操作系统,系统编程,,team_review,v1
SK083,ARM,ARM架构,编程语言,系统编程,,team_review,v1
SK084,Web,Web开发,前端开发,前端开发,,team_review,v1
SK085,REST API,RESTful接口,后端开发,后端开发,,team_review,v1
SK086,微服务,Microservices,后端开发,后端开发,,team_review,v1
SK087,分布式系统,分布式,后端开发,后端开发,,team_review,v1
SK088,CPU/GPU,处理器/图形处理器,硬件,计算机体系结构,,team_review,v1
SK089,CTR/CVR,点击率/转化率,数据分析,数据科学,,team_review,v1
